Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year
Malcolm X,7.7,"Biography, Drama, History",202 min,U,1992
The Last of the Mohicans,7.7,"Action, Adventure, Drama",112 min,UA,1992
Kurenai no buta,7.7,"Animation, Adventure, Comedy",94 min,U,1992
Glengarry Glen Ross,7.7,"Crime, Drama, Mystery",100 min,R,1992
A Few Good Men,7.7,"Drama, Thriller",138 min,U,1992
Fried Green Tomatoes,7.7,Drama,130 min,PG-13,1991
Barton Fink,7.7,"Comedy, Drama, Thriller",116 min,U,1991
Miller's Crossing,7.7,"Crime, Drama, Thriller",115 min,R,1990
Who Framed Roger Rabbit,7.7,"Animation, Adventure, Comedy",104 min,U,1988
Spoorloos,7.7,"Mystery, Thriller",107 min,,1988
Withnail & I,7.7,"Comedy, Drama",107 min,R,1987
The Last Emperor,7.7,"Biography, Drama, History",163 min,U,1987
Empire of the Sun,7.7,"Action, Drama, History",153 min,U,1987
Der Name der Rose,7.7,"Crime, Drama, Mystery",130 min,R,1986
Blue Velvet,7.7,"Drama, Mystery, Thriller",120 min,A,1986
The Purple Rose of Cairo,7.7,"Comedy, Fantasy, Romance",82 min,U,1985
After Hours,7.7,"Comedy, Crime, Drama",97 min,UA,1985
Zelig,7.7,Comedy,79 min,PG,1983
The Verdict,7.7,Drama,129 min,U,1982
Star Trek II: The Wrath of Khan,7.7,"Action, Adventure, Sci-Fi",113 min,U,1982
First Blood,7.7,"Action, Adventure",93 min,A,1982
Ordinary People,7.7,Drama,124 min,U,1980
Airplane!,7.7,Comedy,88 min,U,1980
Rupan sansei: Kariosutoro no shiro,7.7,"Animation, Adventure, Family",100 min,U,1979
Halloween,7.7,"Horror, Thriller",91 min,A,1978
Le locataire,7.7,"Drama, Thriller",126 min,R,1976
Love and Death,7.7,"Comedy, War",85 min,PG,1975
The Taking of Pelham One Two Three,7.7,"Action, Crime, Thriller",104 min,U,1974
Blazing Saddles,7.7,"Comedy, Western",93 min,A,1974
Serpico,7.7,"Biography, Crime, Drama",130 min,A,1973
Enter the Dragon,7.7,"Action, Crime, Drama",102 min,A,1973
Deliverance,7.7,"Adventure, Drama, Thriller",109 min,U,1972
The French Connection,7.7,"Action, Crime, Drama",104 min,A,1971
Dirty Harry,7.7,"Action, Crime, Thriller",102 min,A,1971
Where Eagles Dare,7.7,"Action, Adventure, War",158 min,U,1968
The Odd Couple,7.7,Comedy,105 min,G,1968
The Dirty Dozen,7.7,"Action, Adventure, War",150 min,,1967
Belle de jour,7.7,"Drama, Romance",100 min,A,1967
A Man for All Seasons,7.7,"Biography, Drama, History",120 min,U,1966
Repulsion,7.7,"Drama, Horror, Thriller",105 min,,1965
Zulu,7.7,"Drama, History, War",138 min,U,1964
Goldfinger,7.7,"Action, Adventure, Thriller",110 min,A,1964
The Birds,7.7,"Drama, Horror, Mystery",119 min,A,1963
Cape Fear,7.7,"Drama, Thriller",106 min,Passed,1962
Peeping Tom,7.7,"Drama, Horror, Thriller",101 min,,1960
The Magnificent Seven,7.7,"Action, Adventure, Western",128 min,Approved,1960
Les yeux sans visage,7.7,"Drama, Horror",90 min,,1960
Invasion of the Body Snatchers,7.7,"Drama, Horror, Sci-Fi",80 min,Approved,1956
Rebel Without a Cause,7.7,Drama,111 min,PG-13,1955
The Ladykillers,7.7,"Comedy, Crime",91 min,,1955
Sabrina,7.7,"Comedy, Drama, Romance",113 min,Passed,1954
The Quiet Man,7.7,"Comedy, Drama, Romance",129 min,Passed,1952
The Day the Earth Stood Still,7.7,"Drama, Sci-Fi",92 min,U,1951
The African Queen,7.7,"Adventure, Drama, Romance",105 min,PG,1951
Gilda,7.7,"Drama, Film-Noir, Romance",110 min,Approved,1946
Fantasia,7.7,"Animation, Family, Fantasy",125 min,G,1940
The Invisible Man,7.7,"Horror, Sci-Fi",71 min,TV-PG,1933
Dark Waters,7.6,"Biography, Drama, History",126 min,PG-13,2019
Searching,7.6,"Drama, Mystery, Thriller",102 min,U/A,2018
Once Upon a Time... in Hollywood,7.6,"Comedy, Drama",161 min,A,2019
Nelyubov,7.6,Drama,127 min,R,2017
The Florida Project,7.6,Drama,111 min,A,2017
Just Mercy,7.6,"Biography, Crime, Drama",137 min,A,2019
Gifted,7.6,Drama,101 min,PG-13,2017
The Peanut Butter Falcon,7.6,"Adventure, Comedy, Drama",97 min,PG-13,2019
Victoria,7.6,"Crime, Drama, Romance",138 min,,2015
Mustang,7.6,Drama,97 min,PG-13,2015
Guardians of the Galaxy Vol. 2,7.6,"Action, Adventure, Comedy",136 min,UA,2017
Baby Driver,7.6,"Action, Crime, Drama",113 min,UA,2017
Only the Brave,7.6,"Action, Biography, Drama",134 min,UA,2017
Bridge of Spies,7.6,"Drama, History, Thriller",142 min,UA,2015
Incredibles 2,7.6,"Animation, Action, Adventure",118 min,UA,2018
Moana,7.6,"Animation, Adventure, Comedy",107 min,U,2016
Sicario,7.6,"Action, Crime, Drama",121 min,A,2015
Creed,7.6,"Drama, Sport",133 min,A,2015
Leviafan,7.6,"Crime, Drama",140 min,R,2014
Hell or High Water,7.6,"Action, Crime, Drama",102 min,R,2016
Philomena,7.6,"Biography, Comedy, Drama",98 min,PG-13,2013
Dawn of the Planet of the Apes,7.6,"Action, Adventure, Drama",130 min,UA,2014
El cuerpo,7.6,"Mystery, Thriller",112 min,,2012
Serbuan maut,7.6,"Action, Thriller",101 min,A,2011
End of Watch,7.6,"Action, Crime, Drama",109 min,A,2012
Kari-gurashi no Arietti,7.6,"Animation, Adventure, Family",94 min,U,2010
A Star Is Born,7.6,"Drama, Music, Romance",136 min,UA,2018
True Grit,7.6,"Drama, Western",110 min,PG-13,2010
Hævnen,7.6,"Drama, Romance",118 min,R,2010
Despicable Me,7.6,"Animation, Comedy, Crime",95 min,U,2010
50/50,7.6,"Comedy, Drama, Romance",100 min,R,2011
Kick-Ass,7.6,"Action, Comedy, Crime",117 min,UA,2010
Celda 211,7.6,"Action, Adventure, Crime",113 min,,2009
Moneyball,7.6,"Biography, Drama, Sport",133 min,PG-13,2011
La piel que habito,7.6,"Drama, Horror, Thriller",120 min,R,2011
Zombieland,7.6,"Adventure, Comedy, Fantasy",88 min,A,2009
Die Welle,7.6,"Drama, Thriller",107 min,,2008
Sherlock Holmes,7.6,"Action, Adventure, Mystery",128 min,PG-13,2009
The Blind Side,7.6,"Biography, Drama, Sport",129 min,UA,2009
The Visitor,7.6,Drama,104 min,PG-13,2007
Seven Pounds,7.6,Drama,123 min,UA,2008
Eastern Promises,7.6,"Action, Crime, Drama",100 min,R,2007
Stardust,7.6,"Adventure, Family, Fantasy",127 min,U,2007
The Secret of Kells,7.6,"Animation, Adventure, Family",71 min,,2009
Inside Man,7.6,"Crime, Drama, Mystery",129 min,R,2006
Gone Baby Gone,7.6,"Crime, Drama, Mystery",114 min,R,2007
La Vie En Rose,7.6,"Biography, Drama, Music",140 min,PG-13,2007
Huo Yuan Jia,7.6,"Action, Biography, Drama",104 min,PG-13,2006
The Illusionist,7.6,"Drama, Fantasy, Mystery",110 min,U,2006
Dead Man's Shoes,7.6,"Crime, Drama, Thriller",90 min,,2004
Harry Potter and the Half-Blood Prince,7.6,"Action, Adventure, Family",153 min,UA,2009
300,7.6,"Action, Drama",117 min,A,2006
Match Point,7.6,"Drama, Romance, Thriller",124 min,R,2005
Watchmen,7.6,"Action, Drama, Mystery",162 min,A,2009
Lord of War,7.6,"Action, Crime, Drama",122 min,R,2005
Saw,7.6,"Horror, Mystery, Thriller",103 min,UA,2004
"Synecdoche, New York",7.6,Drama,124 min,R,2008
Mysterious Skin,7.6,Drama,105 min,R,2004
Jeux d'enfants,7.6,"Comedy, Drama, Romance",93 min,R,2003
Un long dimanche de fiançailles,7.6,"Drama, Mystery, Romance",133 min,U,2004
The Station Agent,7.6,"Comedy, Drama",89 min,R,2003
21 Grams,7.6,"Crime, Drama, Thriller",124 min,UA,2003
Boksuneun naui geot,7.6,"Crime, Drama, Thriller",129 min,R,2002
Finding Neverland,7.6,"Biography, Drama, Family",106 min,U,2004
25th Hour,7.6,Drama,135 min,R,2002
The Butterfly Effect,7.6,"Drama, Sci-Fi, Thriller",113 min,U,2004
28 Days Later...,7.6,"Drama, Horror, Sci-Fi",113 min,A,2002
Batoru rowaiaru,7.6,"Action, Adventure, Drama",114 min,,2000
The Royal Tenenbaums,7.6,"Comedy, Drama",110 min,A,2001
Y tu mamá también,7.6,Drama,106 min,A,2001
Harry Potter and the Sorcerer's Stone,7.6,"Adventure, Family, Fantasy",152 min,U,2001
The Others,7.6,"Horror, Mystery, Thriller",101 min,PG-13,2001
Blow,7.6,"Biography, Crime, Drama",124 min,R,2001
Enemy at the Gates,7.6,"Drama, History, War",131 min,A,2001
Minority Report,7.6,"Action, Crime, Mystery",145 min,A,2002
The Hurricane,7.6,"Biography, Drama, Sport",146 min,R,1999
American Psycho,7.6,"Comedy, Crime, Drama",101 min,A,2000
Lola rennt,7.6,"Crime, Drama, Thriller",81 min,UA,1998
The Thin Red Line,7.6,"Drama, War",170 min,A,1998
Mulan,7.6,"Animation, Adventure, Family",88 min,U,1998
Fear and Loathing in Las Vegas,7.6,"Adventure, Comedy, Drama",118 min,R,1998
Funny Games,7.6,"Crime, Drama, Thriller",108 min,A,1997
Dark City,7.6,"Mystery, Sci-Fi, Thriller",100 min,A,1998
Sleepers,7.6,"Crime, Drama, Thriller",147 min,UA,1996
Lost Highway,7.6,"Mystery, Thriller",134 min,A,1997
Sense and Sensibility,7.6,"Drama, Romance",136 min,U,1995
Die Hard: With a Vengeance,7.6,"Action, Adventure, Thriller",128 min,A,1995
Dead Man,7.6,"Adventure, Drama, Fantasy",121 min,R,1995
The Bridges of Madison County,7.6,"Drama, Romance",135 min,A,1995
Apollo 13,7.6,"Adventure, Drama, History",140 min,U,PG
Trois couleurs: Blanc,7.6,"Comedy, Drama, Romance",92 min,U,1994
Falling Down,7.6,"Action, Crime, Drama",113 min,R,1993
Dazed and Confused,7.6,Comedy,102 min,U,1993
My Cousin Vinny,7.6,"Comedy, Crime",120 min,UA,1992
Omohide poro poro,7.6,"Animation, Drama, Romance",118 min,U,1991
Delicatessen,7.6,"Comedy, Crime",99 min,R,1991
Home Alone,7.6,"Comedy, Family",103 min,U,1990
The Godfather: Part III,7.6,"Crime, Drama",162 min,A,1990
When Harry Met Sally...,7.6,"Comedy, Drama, Romance",95 min,UA,1989
The Little Mermaid,7.6,"Animation, Family, Fantasy",83 min,U,1989
The Naked Gun: From the Files of Police Squad!,7.6,"Comedy, Crime",85 min,U,1988
"Planes, Trains & Automobiles",7.6,"Comedy, Drama",93 min,U,1987
Lethal Weapon,7.6,"Action, Crime, Thriller",109 min,A,1987
Blood Simple,7.6,"Crime, Drama, Thriller",99 min,A,1984
On Golden Pond,7.6,Drama,109 min,UA,1981
Mad Max 2,7.6,"Action, Adventure, Sci-Fi",96 min,A,1981
The Warriors,7.6,"Action, Crime, Thriller",92 min,UA,1979
The Muppet Movie,7.6,"Adventure, Comedy, Family",95 min,U,1979
Escape from Alcatraz,7.6,"Action, Biography, Crime",112 min,A,1979
Watership Down,7.6,"Animation, Adventure, Drama",91 min,U,1978
Midnight Express,7.6,"Biography, Crime, Drama",121 min,A,1978
Close Encounters of the Third Kind,7.6,"Drama, Sci-Fi",138 min,U,1977
The Long Goodbye,7.6,"Comedy, Crime, Drama",112 min,A,1973
Giù la testa,7.6,"Drama, War, Western",157 min,PG,1971
Kelly's Heroes,7.6,"Adventure, Comedy, War",144 min,GP,1970
The Jungle Book,7.6,"Animation, Adventure, Family",78 min,U,1967
Blowup,7.6,"Drama, Mystery, Thriller",111 min,A,1966
A Hard Day's Night,7.6,"Comedy, Music, Musical",87 min,U,1964
Breakfast at Tiffany's,7.6,"Comedy, Drama, Romance",115 min,A,1961
Giant,7.6,"Drama, Western",201 min,G,1956
From Here to Eternity,7.6,"Drama, Romance, War",118 min,Passed,1953
Lifeboat,7.6,"Drama, War",97 min,,1944
The 39 Steps,7.6,"Crime, Mystery, Thriller",86 min,,1935
